,Question,Answer
179,"
Q: inserting text with python [duplicate]        ","0 Unless you perform this particular task on a regular basis, you don't really need a python script for it. Most editors created with programming in mind (Vim, Emacs, Notepad++, etc) supports some kind of regexp-based search and replace. Replacing ^\(.*\)$ with ""\1"" should wrap all lines in double-quotes in editors that use simple regular expressions. Depending on what tool you use, this might be done in easier ways too; e.g. in a line-by-line substitution with Sed or Vim, replacing .* with ""&"" does the same job. If you're unfamiliar with regular expressions, I highly recommend googling for a good tutorial. Check out the three-part introduction to Sed by Daniel Robbins if you're using Linux/Unix. You may also refer to this page for a more general introduction to regular expressions. share|| follow |||| answered Jul 15 '10 at 1:08 jabiralijabirali 1,13555 silver badges1212 bronze badges add a comment |"
180,"
Q: I'm making a python text-adventure. Need help making an 'inventory'        ","2 Your approach seems to work fine, but you have a couple of bugs. In cell(), you need a : after the elif ""febreeze""... statement (before the comment starts). Also, at the end of that elif block, you need to return 'cell'. With these changes, I can pick up the Febreeze and use it. share|| follow |||| edited Nov 25 '11 at 23:32 answered Nov 25 '11 at 20:09 DavidDavid 1,36977 silver badges88 bronze badges add a comment |"
181,"
Q: Rendered HTML to plain text using Python        ","92 BeautifulSoup is a scraping library, so it's probably not the best choice for doing HTML rendering. If it's not essential to use BeautifulSoup, you should take a look at html2text. For example: import html2text html = open(""foobar.html"").read() print html2text.html2text(html) This outputs: Some text more text even more text * list item * yet another list item Some other text * list item * yet another list item share|| follow |||| edited Feb 16 '19 at 9:04 JosefAssad 3,5202222 silver badges3434 bronze badges answered Nov 12 '12 at 3:09 deldel 4,98377 gold badges3636 silver badges4444 bronze badges 2 Can I use html2text in junction with BeautifulSoup. For example I parse the chunk of html I'm interested at and then feed it to html2text using pretify()? – btatarov Nov 12 '12 at 3:58 1 Yes, html2text can process HTML in chunks by calling HTML2Text.feed(chunk) on each successive chunk, and then calling HTML2Text.close() to get the text result (similar to HTMLParser.feed()). – del Nov 12 '12 at 4:40 30 This answer made me happy and sad at the same time. RIP Aaron Swartz. – Steve Rossiter Jan 16 '16 at 0:37 add a comment |"
182,"
Q: Text File Parsing with Python        ","16 I would use a for loop to iterate over the lines in the text file: for line in my_text: outputfile.writelines(data_parser(line, reps)) If you want to read the file line-by-line instead of loading the whole thing at the start of the script you could do something like this: inputfile = open('test.dat') outputfile = open('test.csv', 'w') # sample text string, just for demonstration to let you know how the data looks like # my_text = '""2012-06-23 03:09:13.23"",4323584,-1.911224,-0.4657288,-0.1166382,-0.24823,0.256485,""NAN"",-0.3489428,-0.130449,-0.2440527,-0.2942413,0.04944348,0.4337797,-1.105218,-1.201882,-0.5962594,-0.586636' # dictionary definition 0-, 1- etc. are there to parse the date block delimited with dashes, and make sure the negative numbers are not effected reps = {'""NAN""':'NAN', '""':'', '0-':'0,','1-':'1,','2-':'2,','3-':'3,','4-':'4,','5-':'5,','6-':'6,','7-':'7,','8-':'8,','9-':'9,', ' ':',', ':':',' } for i in range(4): inputfile.next() # skip first four lines for line in inputfile: outputfile.writelines(data_parser(line, reps)) inputfile.close() outputfile.close() share|| follow |||| edited Apr 26 '17 at 11:36 Christopher Bottoms 9,34066 gold badges3939 silver badges8080 bronze badges answered Aug 13 '12 at 15:03 Joe DayJoe Day 4,89433 gold badges2020 silver badges2626 bronze badges thanks! what would be the best way to skip the first 4 lines then? To admit, I could not find a way to do it, that's why I decided to read the whole thing. Should I write the file except the first 4 lines to another file to run the loop you have above? I bet there should be an easier way though. EDIT: oh wait, I think you mean replacing the line txt = data_parser(my_text, reps) with the loop you have above. – marillion Aug 13 '12 at 15:06 You've already skipped the first 4 lines with the line my_text = inputfile.readlines()[4:], if you would rather read the file line-by-line and not load the whole thing in to ram at the beginning of the script I can update my answer. – Joe Day Aug 13 '12 at 15:12 Sorry, I got it wrong at the first place (see my EDIT above), but thanks, it works perfectly!!! Now, I would be very glad to learn about the ""read line-parse-write line (line-by-line)"" way of doing things. I have some files large file with a size of +500MB, which may mess up things. Could you update your answer with a second example? – marillion Aug 13 '12 at 15:20 I updated my answer with a version that reads the input file a line at a time. – Joe Day Aug 13 '12 at 15:29 Greatly appreciated, thank you! for i in range(4): inputfile.next() was what I was looking for before deciding to read the whole thing by the way! – marillion Aug 13 '12 at 15:41 add a comment |"
183,"
Q: Python text file processing speed issues        ","9 In Python (at least <= 2.6.x), gzip format parsing is implemented in Python (over zlib). More, it appears to be doing some strange things, namely, decompress to the end of file to memory and then discard everything beyond the requested read size (then do it again for next read). DISCLAIMER: I've just looked at gzip.read() for 3 minutes, so I can be wrong here. Regardless of whether my understanding of gzip.read() is correct or not, gzip module appears to be not optimized for large data volumes. Try doing the same thing as in Perl, i.e. launching an external process (e.g. see module subprocess). EDIT Actually, I missed the OP's remark about plain file I/O being just as slow as compressed (thanks to ire_and_curses for pointing it out). This striken me as unlikely, so I did some measurements... from timeit import Timer def w(n): L = ""*""*80+""\n"" with open(""ttt"", ""w"") as f: for i in xrange(n) : f.write(L) def r(): with open(""ttt"", ""r"") as f: for n,line in enumerate(f) : if n % 1000000 == 0 : print n def g(): f = gzip.open(""ttt.gz"", ""r"") for n,line in enumerate(f) : if n % 1000000 == 0 : print n Now, running it... >>> Timer(""w(10000000)"", ""from __main__ import w"").timeit(1) 14.153118133544922 >>> Timer(""r()"", ""from __main__ import r"").timeit(1) 1.6482770442962646 # here i switched to a terminal and made ttt.gz from ttt >>> Timer(""g()"", ""from __main__ import g"").timeit(1) ...and after having a tea break and discovering that it's still running, I've killed it, sorry. Then I tried 100'000 lines instead of 10'000'000: >>> Timer(""w(100000)"", ""from __main__ import w"").timeit(1) 0.05810999870300293 >>> Timer(""r()"", ""from __main__ import r"").timeit(1) 0.09662318229675293 # here i switched to a terminal and made ttt.gz from ttt >>> Timer(""g()"", ""from __main__ import g"").timeit(1) 11.939290046691895 Module gzip's time is O(file_size**2), so with number of lines on the order of millions, gzip read time just cannot be the same as plain read time (as we see confirmed by an experiment). Anonymouslemming, please check again. share|| follow |||| edited Apr 22 '10 at 19:46 answered Apr 22 '10 at 15:35 atzzatzz 14.3k33 gold badges3232 silver badges3131 bronze badges 3 This is interesting, but isn't it beside the point? Whether this is true or not, the OP points out that looping over the uncompressed file (and therefore not using the gzip module at all) in Python is also slow. – ire_and_curses Apr 22 '10 at 16:53 @ire_and_curses -- thanks for pointing this out, I'll update my answer. – atzz Apr 22 '10 at 19:17 That's really bizzare about gzip.open. Is this an expected behaviour by design? – Santa Apr 22 '10 at 19:51 @Santa -- good question... I guess the module was not intended for processing large volumes of data (and on small files it's fast enough), but I don't know. – atzz Apr 22 '10 at 20:42 1 @Santa: If you have to ask, then it's never expected behaviour. – BlueRaja - Danny Pflughoeft Apr 22 '10 at 20:52 | show 1 more comment"
184,"
Q: python text adventure validate user input        ","0 Try this : print(""input fire chandelier"") user = input() if ""fire"" in user or ""chandelier"" in user: print (""works"") else: print(""fails"") share|| follow |||| answered Mar 8 '15 at 15:00 user2440647user2440647 This is what I think OP meant to be doing with the original code but this will get horribly complicated as the list of commands grows. – Two-Bit Alchemist Mar 8 '15 at 15:01 thanks this is what I was looking for I would upvote but I dont have enough rep :) – Zac Connolly Mar 8 '15 at 15:09 add a comment |"
185,"
Q: Python visual text editor [closed]        ","0 Take a look at Spyder (https://pythonhosted.org/spyder/). If you're coming from the Matlab world, then this can feel familiar to you. You have plotting capabilities like in Matlab, and you have the numpy library loaded by default, for matlab-like matrix computations. share|| follow |||| answered Mar 24 '16 at 6:44 Adi LevinAdi Levin 4,58911 gold badge1010 silver badges2323 bronze badges this is exactly what i was looking for. Thanks a lot. – sanster9292 Mar 24 '16 at 19:48 add a comment |"
186,"
Q: Python: Text file to dictionary whilst preserving order?        ","1 This should do the trick, and is shorter than most of the other solutions. from collections import OrderedDict data = [] for line in eventVar.readline(): # Remove braces line = line.strip()[1:-1] results = OrderedDict() # Split by comma sign for pair in line.split(','): # Get key and value by splitting on colon key, value = pair.split(':') # Use eval to get rid of quotation surrounding the key and value results[eval(key)] = eval(value) # Add the results from reading this line to a list data.append(results) share|| follow |||| answered Jan 5 '14 at 4:37 Steinar LimaSteinar Lima 6,33122 gold badges3030 silver badges3737 bronze badges Doesn't this have problems with strings containing commas? – dstromberg Jan 5 '14 at 20:08 @dstromberg It has, but judging by the sample input, I don't think that is an issue in this case. – Steinar Lima Jan 6 '14 at 17:39 add a comment |"
187,"
Q: python - asn1 parsed text to json        ","2 +25 Unfortunately, it is unlikely that somebody will come with a straight answer to your question (which is very similar to How to extract data from asn1 data file and load it into a dataframe?) The text of your link is obviously a log file where ASN.1 value notation was used to make the messages human readable. So trying to decode these messages from their textual form is unusual and you will probably not find tooling for that. In theory, the generic method would be this one: Gather the ASN.1 DEFINITIONS (schema) that were used to create the ASN.1 messages Compile these DEFINITIONS with an ASN.1 tool (aka compiler) to generate an object model in your favorite language (python). The tool would provide the specific code to encode and decode ... you would use ASN.1 values decoders. Add your custom code (either to the object model or plugged in the ASN.1 compiler) to encode your JSON objects As you see, it is a very long shot (I can expand if this explanation is too short or unclear) Unless your task is repetivite and/or the number of messages is big, try the methods you already know (manual search, regex) to search the log file. If you want to see what it takes to create ASN.1 tools, you can find a few (not that many as ASN.1 is not particularly young and popular). Check out https://github.com/etingof/pyasn1 (python) I created my own for fun in Java and I am adding the ASN.1 value decoders to illustrate my answer: https://github.com/yafred/asn1-tool (branch text-asn-value-support) share|| follow |||| answered Dec 29 '19 at 9:13 YaFredYaFred 7,23533 gold badges2121 silver badges3636 bronze badges add a comment |"
188,"
Q: Delayed text in python        ","1 def delay_print(text, delay): for i in text: time.sleep(delay) print(i, end='') sys.stdout.flush() print() This is just loops through the given text and uses end='' to not print a new line until the loop finishes share|| follow |||| edited Mar 21 '17 at 22:41 answered Mar 21 '17 at 21:30 ChrisBrownie55ChrisBrownie55 2,46622 gold badges1111 silver badges2626 bronze badges Why the name sPrint for the function? Why not stick to the Style Guide for Python Code and call the function delayed_print or something like that? – Matthias Mar 21 '17 at 21:41 I actually didn't know there was a naming convention, I usually just name things like that. Thanks for showing me that though – ChrisBrownie55 Mar 21 '17 at 21:44 how do I call the function, I figured out with the other one it is poketext(""Text Here"") but I can't seem to figure it out with this one – ActiveGaming Mar 21 '17 at 22:21 Seriously?? You call it with your string and your delay, delay_print(""here is a string but you can use a variable too"", 0.05) – ChrisBrownie55 Mar 21 '17 at 22:22 0.05 is the time in seconds between each character print – ChrisBrownie55 Mar 21 '17 at 22:23 | show 2 more comments"
189,"
Q: python text file parse and print        ","0 with open(""file.txt"",""r"") as f: lines=f.readlines() [print(lines[c-1]+lines[c:c+X]) for c,e in enumerate(lines) if ""ABC"" in e] Try this list comprehension share|| follow |||| answered Jul 23 '18 at 6:10 whackamadoodle3000whackamadoodle3000 5,33644 gold badges1616 silver badges3333 bronze badges add a comment |"
190,"
Q: Converting html to text with Python        ","65 What am I missing? soup.get_text() gives exactly the same output you wanted... from bs4 import BeautifulSoup soup = BeautifulSoup(html) print(soup.get_text()) output Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa Consectetuer adipiscing elit. Some Link Aenean commodo ligula eget dolor. Aenean massa Aenean massa.Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa Consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa EDIT - And to keep newlines, as pointed out by @t-8ch: print(soup.get_text('\n')) PS! To be exact you can replace newline with a double one -- then it is identical to your example :) soup.get_text().replace('\n','\n\n') share|| follow |||| edited Oct 10 '19 at 9:14 caram 28411 silver badge1010 bronze badges answered Feb 4 '13 at 20:06 rootroot 50.6k1717 gold badges9090 silver badges110110 bronze badges 2 soup.get_text() is exactly what I needed. Thank you! – Aaron Bandelli Feb 4 '13 at 21:22 BeautifulSoup 4 only, unfortunately. – palswim Oct 15 '18 at 5:49 This saved my day! I update the response to for Python3 and incorporating @t-8ch's newline idea. – caram Oct 10 '19 at 7:44 add a comment |"
191,"
Q: Splitting text with python        ","1 import re a=""""""SYSTEM DOF=UY,UZ,RX LENGTH=FT FORCE=Kip JOINT 1 X=0 Y=-132.644 Z=0 2 X=0 Y=-80 Z=0 3 X=0 Y=-40 Z=0 4 X=0 Y=0 Z=0 5 X=0 Y=40 Z=0 6 X=0 Y=80 Z=0 7 X=0 Y=132.644 Z=0"""""" # replace all character except digit, '-', '.' and ' '(space) with nothing, get all the info you need, than split each info into a list b = re.sub(r'[^\d\. -]','',a).split() # split the list to sublists, each contain four elements lines = [b[i:i+4] for i in range(0, len(b), 4)] for line in lines: print(line) out: ['1', '0', '-132.644', '0'] ['2', '0', '-80', '0'] ['3', '0', '-40', '0'] ['4', '0', '0', '0'] ['5', '0', '40', '0'] ['6', '0', '80', '0'] ['7', '0', '132.644', '0'] or write to file: print(' '.join(line),file=open('youfilename', 'a')) or: with open('filename', 'w') as f: for line in lines: f.write(' '.join(line) + '\n') # or f.writelines(' '.join(line)+'\n' for line in lines) out: 1 0 -132.644 0 2 0 -80 0 3 0 -40 0 4 0 0 0 5 0 40 0 6 0 80 0 7 0 132.644 0 share|| follow |||| edited Dec 13 '16 at 2:23 answered Dec 13 '16 at 1:44 宏杰李宏杰李 9,84822 gold badges1818 silver badges2828 bronze badges This solution is working but what if I wanted to output the results to a text file? – user7269405 Dec 13 '16 at 2:13 add a comment |"
192,"
Q: long text as String in python        ","23 Use triple quotes : mytext = """"""Some text Some more text etc... """""" share|| follow |||| answered Jul 17 '12 at 14:40 Kassym DorselKassym Dorsel 4,25011 gold badge1919 silver badges4848 bronze badges 2 Note that while not commonly used, triple single quotes also work although triple-double-quotes are preferred (as long as your string doesn't contain triple-double-quotes). Phew, that's a mouthful. – mgilson Jul 17 '12 at 14:43 Just what I meant. Thank you! – user1031431 Jul 17 '12 at 14:43 add a comment |"
193,"
Q: Split text using Python [duplicate]        ","1 Check this, might help you >>> re.compile('[0-9]+').split(""hel2l3o"") ['hel', 'l', 'o'] >>> >>> re.compile('cut').split(""hellocutworldcutpython"") ['hello', 'world', 'python'] split about first cut >>> l=re.compile('cut').split(""hellocutworldcutpython"") >>> print l[0], string.join([l[i] for i in range(1, len(l))], """") hello worldpython share|| follow |||| edited Sep 21 '11 at 13:13 answered Sep 21 '11 at 12:48 Aman AgarwalAman Agarwal 67866 silver badges1515 bronze badges need **TWO part ['hello', 'worldcutpython'] – Smirnov Sep 21 '11 at 12:58 can you please explain it clearly – Aman Agarwal Sep 21 '11 at 12:59 Need text only before txt and after. – Smirnov Sep 21 '11 at 13:04 >>> l=re.compile('cut').split(""hellocutworldcutpython"") >>> print l[0], string.join([l[i] for i in range(1, len(l))], """") hello worldpython – Aman Agarwal Sep 21 '11 at 13:12 add a comment |"
194,"
Q: Python Formatting Large Text        ","22 The standard library has tools for this: import textwrap #... def getCalendarHeader(self): print textwrap.dedent(""""""\ BEGIN:VCALENDAR PRODID:-//Atlassian Software Systems//Confluence Calendar Plugin//EN VERSION:2.0 CALSCALE:GREGORIAN X-WR-CALNAME;VALUE=TEXT: X-WR-CALDESC;VALUE=TEXT: """""") share|| follow |||| answered Feb 15 '12 at 21:31 Ned BatchelderNed Batchelder 294k6464 gold badges483483 silver badges594594 bronze badges Works perfectly. Thanks! – petebowden Feb 15 '12 at 21:39 add a comment |"
195,"
Q: CSV to python, text align        ","3 Using ljust() You can use ljust() function (for strings). ljust will pad the string from the right with spaces (or any other char if specified). Example usage: >>> 'hello'.ljust(10) 'hello ' >>> 'hello'.ljust(10, 'A') 'helloAAAAA' So when you print the values, just pad them using ljust Assume having a - list a of lists that contains your values: for b in a: for c in b: print c.ljust(15), print """" Using format You may use the string format function for that purpose: >>> '{:10}'.format('hello') 'hello ' The general format of a standard format specifier is: format_spec ::= [[fill]align][sign][#][0][width][,][.precision][type] fill ::= <any character> align ::= ""<"" | "">"" | ""="" | ""^"" sign ::= ""+"" | ""-"" | "" "" width ::= integer precision ::= integer type ::= ""b"" | ""c"" | ""d"" | ""e"" | ""E"" | ""f"" | ""F"" | ""g"" | ""G"" | ""n"" | ""o"" | ""s"" | ""x"" | ""X"" | ""%"" Another way to use the string format: >>> '{text: <10}'.format(text='hi') 'hi ' Using slicing Well, it might be considered more elegant (?) or Pythonic (??) to use that method, but I don't personally like it: >>> ('hello' + 10 * ' ')[:10] 'hello ' Using print formatting You can use the percentage sign when printing, for formatting stuff with C style printf... Nevermind, it's not a good idea. Go look somewhere else! share|| follow |||| edited Nov 15 '16 at 20:27 answered Nov 15 '16 at 20:15 Yotam SalmonYotam Salmon 2,2191313 silver badges3131 bronze badges add a comment |"
196,"
Q: Python text files merge from subdirectory [closed]        ","2 import os root = './' files = [(path,f) for path,_,file_list in os.walk(root) for f in file_list] out_file = open('master.txt','w') for path,f_name in files: in_file = open('%s/%s'%(path,f_name), 'r') # write out root/path/to/file (space) file_contents for line in in_file: out_file.write('%s/%s %s'%(path,f_name,line)) in_file.close() # enter new line after each file out_file.write('\n') out_file.close() if you only want some files from the tree rooted at root change the third line to # only take .txt files from the directory tree files = [(path,f) for path,_,file_list in os.walk(root) for f in file_list if f.endswith('.txt')] share|| follow |||| edited Aug 28 '12 at 11:29 answered Aug 28 '12 at 10:14 Matti LyraMatti Lyra 11.2k44 gold badges4040 silver badges6262 bronze badges Use os.path for extracting the extensions and joining paths... – Katriel Aug 28 '12 at 10:30 10x, @MattiLyra i am getting syntax error for the 'in', in = os.open('%s/%s' % (path, f_name), 'r'). BTW files are in C:\\Tasks\\ folder. – user1582596 Aug 28 '12 at 10:32 2 rather than using in and out use in_file and out_file – geo_pythoncl Aug 28 '12 at 10:46 2 in both cases don't use os.open() use just open() – geo_pythoncl Aug 28 '12 at 11:10 1 @user1582596 see updated code above – Matti Lyra Aug 28 '12 at 11:29 | show 9 more comments"
197,"
Q: How can I detect if a file is binary (non-text) in python?        ","41 You can also use the mimetypes module: import mimetypes ... mime = mimetypes.guess_type(file) It's fairly easy to compile a list of binary mime types. For example Apache distributes with a mime.types file that you could parse into a set of lists, binary and text and then check to see if the mime is in your text or binary list. share|| follow |||| edited Nov 4 '17 at 14:18 A. Hennink 18322 silver badges1313 bronze badges answered May 22 '09 at 16:21 Gavin M. RoyGavin M. Roy 3,72844 gold badges3030 silver badges2727 bronze badges 15 Is there a way to get mimetypes to use the contents of a file rather than just its name? – intuited Oct 13 '10 at 7:01 4 @intuited No, but libmagic does that. Use it via python-magic. – Bengt Jun 30 '12 at 1:25 There is a similar question with some good answers here: stackoverflow.com/questions/1446549/… The answer based on an activestate recipe looks good to me, it allows a small proportion of non-printable characters (but no \0, for some reason). – Sam Watkins Mar 14 '13 at 2:57 5 This isn't a great answer only because the mimetypes module is not good for all files. I'm looking at a file now which system file reports as ""UTF-8 Unicode text, with very long lines"" but mimetypes.gest_type() will return (None, None). Also, Apache's mimetype list is a whitelist/subset. It is by no means a complete list of mimetypes. It cannot be used to classify all files as either text or non-text. – Purrell Feb 26 '15 at 22:21 1 guess_types is based on the file name extension, not the real content as the Unix command ""file"" would do. – Eric H. Jun 20 '17 at 7:00 | show 2 more comments"
198,"
Q: Search and replace line in Python text stream        ","1 Strings are immutable objects in you Python, you can't change their values. If you want to change the value inside the StringIO buffer, you can do so as with any other file using seek and write, but replacing lines with different lengths will be a problem. I suggest modeling the text stream as a list of lines. Ex: text = ""line 1\nMATCHTHIS line 2\nline 3"" lines = text.split('\n') for i, line in enumerate(lines): if line.startswith(""MATCHTHIS""): meta, new_line = parse_data(line) lines[i] = new_line # Replace old line. new_text = '\n'.join(lines) # Recreate text with replaced lines. Also, classic console tools like sed and piping are perfect for this job. share|| follow |||| answered Aug 6 '15 at 1:53 BoppreHBoppreH 5,23911 gold badge2626 silver badges5555 bronze badges Thanks, this worked. ... sed isn't an option as this is part of a Python web app. ... I'm curious about strings being immutable. StringIO indicates that it can read/write buffers, though I wasn't able to get this working as I wanted (probably due to my inexperience). – user2487593 Aug 8 '15 at 22:36 add a comment |"
199,"
Q: R or Python, text analysis and my particular situation        ","0 This question isn't the best format for StackOverflow - it is rather opinionated and quite vague. Personally I would tend towards R for most data analysis. Python is a fantastic general purpose language but for 90% of data analysis, I would choose R. If you are a complete beginner, I would recommend the R for Data Science book to get started with R, then I would recommend looking at the tidytext package for text and sentiment analysis. Appreciate some advice as i dont want to start learning, realise its not for me and start from point 0 again. Just like learning French helps your Italian, starting with Python, realising it is not for you and then learning R would not be starting from point 0 again. Learning Python would be a valuable exercise that would help you become a better programmer. A good data analyst should be able to express themselves in multiple languages. share|| follow |||| answered Aug 6 '17 at 11:28 JamesJames 39222 silver badges99 bronze badges Appreciate the answer. I do understand the question is not really stack overflow suitable but its been bugging me, I thought its best to get an answer from those who know the languages the best. My maths isnt fantastic, its not hopeless either, im just not great at summing things in my head quickly, i rely on a calculator alot. I dont know if this really has any relevance to anything. Also you mentioned learning Python and then R would not make me start at point 0, would the same argument hold from learning R and switching to Python? thanks – user8424260 Aug 6 '17 at 11:41 add a comment |"
200,"
Q: Python, PIL; Text to Image and fonts        ","10 You aren't looking at actual font files in the control panel (explorer magically turns into the font viewer control panel when in the Windows/fonts folder as well), they are grouped by family for your convenience. Double click the family to see the fonts in the family: Then right-click and choose properties to find the file name: share|| follow |||| answered Apr 6 '13 at 23:39 Pavel AnossovPavel Anossov 49.6k1111 gold badges126126 silver badges113113 bronze badges 1 Thanks Pavel, that worked fine: font = ImageFont.truetype(""Arialbd.ttf"",14) – Harry Lime Apr 6 '13 at 23:42 add a comment |"
201,"
Q: Python text adventure trouble with storing data        ","1 Is this the structure you're after? choices = { 1 : { 'prompt' : { 'prompt' : 'Level 1 prompt', 'A' : 'Choice A', 'B' : 'Choice B', 'C' : 'Choice C' }, }, 2 : { 'promptA' : { 'prompt' : 'Level 2 prompt A', 'A' : 'A Choice A', 'B' : 'A Choice B', 'C' : 'A Choice C' }, 'promptB' : { 'prompt' : 'Level 2 prompt B', 'A' : 'B Choice A', 'B' : 'B Choice B', 'C' : 'B Choice C' }, 'promptC' : { 'prompt' : 'Level 2 prompt C', 'A' : 'C Choice A', 'B' : 'C Choice B', 'C' : 'C Choice C' }, }, 3 : { 'promptA' : { 'prompt' : 'Level 3 prompt A', 'A' : 'A Choice A', 'B' : 'A Choice B', 'C' : 'A Choice C' }, 'promptB' : { 'prompt' : 'Level 3 prompt B', 'A' : 'B Choice A', 'B' : 'B Choice B', 'C' : 'B Choice C' }, 'promptC' : { 'prompt' : 'Level 3 prompt C', 'A' : 'C Choice A', 'B' : 'C Choice B', 'C' : 'C Choice C' }, } } def print_segment(level, prev_choice = ''): d = choices.get(level).get('prompt' + prev_choice) print(d.get('prompt')) for c in 'ABC': print(""[{}] {}"".format(c, d.get(c))) # Output >>> print_segment(1) Level 1 prompt [A] Choice A [B] Choice B [C] Choice C >>> print_segment(2, 'A') Level 2 prompt A [A] A Choice A [B] A Choice B [C] A Choice C >>> print_segment(3, 'B') Level 3 prompt B [A] B Choice A [B] B Choice B [C] B Choice C share|| follow |||| edited Nov 11 '16 at 17:36 answered Nov 11 '16 at 17:25 Steven SummersSteven Summers 3,91222 gold badges1212 silver badges2424 bronze badges Yes, that's exactly what I was looking for, thank you! – Cannon Sloan Nov 11 '16 at 17:35 add a comment |"
202,"
Q: Python Text Adventure Game Input Infinite Loop        ","1 I think it has to do with your action.split(). This command will split on spaces and returns an array: see the documentation on split(). In essence this is what happens: Python 3.6.2 (v3.6.2:5fd33b5, Jul 8 2017, 04:14:34) [MSC v.1900 32 bit (Intel)] on win32 Type ""help"", ""copyright"", ""credits"" or ""license"" for more information. >>> action = ""go north"" >>> action = action.split() >>> print (action) ['go', 'north'] >>> ""go north"" == action False >>> As you can see the array is not equal to the ""go north"" comman,d and thus it is not in your list of valid commands. share|| follow |||| edited Jul 30 '19 at 12:20 aschultz 1,47833 gold badges1212 silver badges2424 bronze badges answered Aug 7 '18 at 7:26 Clueless_captainClueless_captain 32811 silver badge99 bronze badges add a comment |"
203,"
Q: python text processing: identify nouns from individual words        ","1 Even if you use a dictionary, you will always have to deal with ambiguity, for example, the same word depending on the context can be a noun or a verb, take the word research The government will invest on research. The goal is to research new techniques of POS-tagging. Most dictionaries will have more than one definition of research, example: research as a noun research as a verb Where do these words come from, can you maybe pos-tag them within the context where they occur? share|| follow |||| answered Nov 6 '18 at 22:25 David BatistaDavid Batista 2,11111 gold badge1616 silver badges3131 bronze badges They have no context, it's a vocabulary list. You are of course right about the ambiguity, most verbs can be used as nouns, too. A good catch, a nice walk, ... I'm interested in throwing anything away that is obviously not a noun. ""beautiful"", ""learn"", ""above"", ... – lhk Nov 7 '18 at 9:49 add a comment |"
204,"
Q: Selective text using Python        ","5 Try the following regex: ITEM1\.([\s\S]*?)ITEM1A\. Adding the question mark makes it non-greedy thus it will stop at the first occurrence share|| follow |||| answered Sep 29 '18 at 11:24 ARRARR 61633 silver badges1212 bronze badges 1 @Adrian do not forget to accept Ahmad's answer and also, next time, try to edit your answer to clarify instead of 'answering' the question :) – axm__ Sep 29 '18 at 11:51 2 @axm__ yes I will. Sorry for the confusion. This was my first post. Will keep in mind for the future! Thank you again! – Adrian Sep 29 '18 at 12:01 add a comment |"
205,"
Q: Python: Text File Reading Special Characters Issues        ","0 HaHa yes, thank you. I also realized I had 2.7.13 python open and as soon as I closed it. The module started working both ways. Thank you again!! share|| follow |||| answered Feb 25 '17 at 7:24 LookingForAnswerLookingForAnswer 2122 bronze badges add a comment |"
206,"
Q: Python text file strings into columns in spreadsheet        ","3 Alright, here's how you'd write to an actual Excel file. Note that my method of splitting isn't as complicated as others because this is mostly about writing to Excel. You'll need the python-excel package to do this. >>> data = [] >>> with open(""data.txt"") as f: ... for line in f: ... data.append([word for word in line.split("" "") if word]) ... >>> print data [['nothing doing', 'nothing[0]', 'doing[0]\n'], ['hello world', 'hello[0]', 'world[2]']] >>> >>> import xlwt >>> wb = xlwt.Workbook() >>> sheet = wb.add_sheet(""New Sheet"") >>> for row_index in range(len(data)): ... for col_index in range(len(data[row_index])): ... sheet.write(row_index, col_index, data[row_index][col_index]) >>> >>> wb.save(""newSheet.xls"") >>> This produces a workbook with one sheet called ""New Sheet"" that looks like this Hopefully this helps share|| follow |||| answered Jan 26 '14 at 18:33 wnnmawwnnmaw 4,55811 gold badge2525 silver badges5555 bronze badges you mention the print data, there are over 600 rows to print! – user3220585 Jan 27 '14 at 12:05 Then don't print it! :P I included that here so you can get a better idea of what I'm doing. Its not necessary for this to work – wnnmaw Jan 27 '14 at 13:10 removed the print because that was just stupid of me :P but again, this just produces all of the row in one excel cell :/ – user3220585 Jan 27 '14 at 16:32 @user3220585 Did you make any changes aside from removing print? – wnnmaw Jan 27 '14 at 17:05 no changes at all, other than renaming the text file to my own – user3220585 Jan 27 '14 at 19:33 | show 8 more comments"
207,"
Q: Having issue with subprocess library in python during text extraction from image using OCR        ","0 Look like there is an error because it cannot found the file if the file is in the same directory I will recommend you use: import os BASE_DIR = os.path.dirname(os.path.dirname(os.path.abspath(__file__))) os.path.join(BASE_DIR, 'file_dir') share|| follow |||| answered Feb 25 at 6:50 Paritosh YadavParitosh Yadav 15777 bronze badges add a comment |"
